Леггинсы ковер,01010,2000
Леггинсы с трехцветными матрешками,01020,2000
Леггинсы с двухцветными матрешками,01021,2000
Леггинсы олимпийские синие,01030,2000
Леггинсы олимпийские бирюзовые,01031,2000
Леггинсы с марками,01040,2000
Леггинсы обои,01090,2000
Свитшот ковер,02010,3000
Свитшот высотки,02060,3200
Свитшот сгущенка,02050,3000
Свитшот хрущевка,02070,2900
Свитшот молоко,02100,3200
Свитшот забор,02110,3200
Свитшот Москва,02151,3200
Свитшот Санкт-Петербург,02160,3200
Купальник Сгущенка,03050,3500
Купальник Хрущевка,03070,3500
Купальник Газировка,03080,3500
Купальник Молоко,03100,3500
Купальник Эскимо,03110,3500
Купальник Ленинградское,03120,3500
Купальник Окулист,03130,3500
Пляжные шорты Молоко,05100,3500
Пляжные шорты Морской бой,05140,3500
Детский Купальник Сгущенка,06050,2800
Детский Купальник Газировка,06080,2800
Детский Купальник Молоко,06100,2800
Платье хрущевка,07070,3000
Платье Москва,07150,3000
Платье Санкт-Петербург,07160,3000
Платье Париж,07170,3000
Платье Лондон,07180,3000
Толстовка Москва,08150,3500
Толстовка Санкт-Петербург,08160,3500
Толстовка Париж,08170,3500
Толстовка Лондон,08180,3500
